GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O60656-1	UGT1A9	enables	GO:0015020	F	ECO:0000250	ISS	PMID:20610558	UniProtKB:Q9HAW7-1	9606	BHF-UCL		20150109
UniProtKB	O60762	DPM1	enables	GO:0004169	F	ECO:0000314	IDA	PMID:9535917		9606	HGNC-UCL		20070403
UniProtKB	O60762	DPM1	enables	GO:0004582	F	ECO:0000314	IDA	PMID:9535917		9606	HGNC-UCL		20070403
UniProtKB	O60762	DPM1	enables	GO:0004582	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1330239|PANTHER:PTN002459128|RGD:1310120|SGD:S000006387|UniProtKB:O53493|UniProtKB:O60762	9606	GO_Central		20170601
UniProtKB	O60762	DPM1	enables	GO:0004582	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039528	9606	InterPro		20201205
UniProtKB	O60762	DPM1	enables	GO:0004582	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.83	9606	UniProt		20201205
UniProtKB	O60762	DPM1	enables	GO:0004582	F	ECO:0000314	IDA	PMID:9535917		9606	MGI		20080904
UniProtKB	O60762	DPM1	enables	GO:0004582	F	ECO:0000314	IDA	PMID:10835346		9606	UniProt		20100205
UniProtKB	O60909	B4GALT2	enables	GO:0008378	F	ECO:0000304	TAS	PMID:9405390		9606	PINC		20030904
UniProtKB	O60909	B4GALT2	enables	GO:0004461	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.22	9606	UniProt		20201205
UniProtKB	O60909	B4GALT2	enables	GO:0003945	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.90	9606	UniProt		20201205
UniProtKB	O60909	B4GALT2	enables	GO:0003831	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.38	9606	UniProt		20201205
UniProtKB	O75310	UGT2B11	enables	GO:0015020	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.17	9606	UniProt		20201205
UniProtKB	O75310	UGT2B11	enables	GO:0015020	F	ECO:0000314	IDA	PMID:8333863		9606	UniProt		20180123
